"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
144384095,49,"2017-07-01 00:48:00","2017-07-01 01:37:00",3057,39.964581,-75.180031,3057,39.964581,-75.180031,"02500",0,"Round Trip","Walk-up"
144384096,16,"2017-07-01 00:48:00","2017-07-01 01:04:00",3112,39.953732,-75.218246,3161,39.954861,-75.180908,11009,30,"One Way","Indego30"
144384093,47,"2017-07-01 00:50:00","2017-07-01 01:37:00",3057,39.964581,-75.180031,3057,39.964581,-75.180031,"03528",0,"Round Trip","Walk-up"
144384094,13,"2017-07-01 00:50:00","2017-07-01 01:03:00",3064,39.938400,-75.173271,3028,39.940609,-75.149582,"03321",30,"One Way","Indego30"
144384091,12,"2017-07-01 00:51:00","2017-07-01 01:03:00",3161,39.954861,-75.180908,3037,39.954239,-75.161377,"03430",30,"One Way","Indego30"
144384092,13,"2017-07-01 00:51:00","2017-07-01 01:04:00",3064,39.938400,-75.173271,3028,39.940609,-75.149582,"02707",30,"One Way","Indego30"
144384089,19,"2017-07-01 00:53:00","2017-07-01 01:12:00",3049,39.945091,-75.142502,3062,39.951969,-75.179428,"03441",30,"One Way","Indego30"
144384090,24,"2017-07-01 00:53:00","2017-07-01 01:17:00",3036,39.968441,-75.140007,3031,39.980049,-75.155220,"03478",30,"One Way","Indego30"
144384088,18,"2017-07-01 00:54:00","2017-07-01 01:12:00",3049,39.945091,-75.142502,3062,39.951969,-75.179428,11918,30,"One Way","Indego30"
144384087,14,"2017-07-01 00:57:00","2017-07-01 01:11:00",3062,39.951969,-75.179428,3068,39.935490,-75.167107,11036,30,"One Way","Indego30"
144384086,24,"2017-07-01 01:00:00","2017-07-01 01:24:00",3045,39.947922,-75.162369,3150,39.928841,-75.170212,"03305",30,"One Way","Indego30"
144384083,8,"2017-07-01 01:02:00","2017-07-01 01:10:00",3028,39.940609,-75.149582,3025,39.937241,-75.161201,"05375",30,"One Way","Indego30"
144384084,14,"2017-07-01 01:02:00","2017-07-01 01:16:00",3010,39.947109,-75.166183,3054,39.962502,-75.174202,"05211",30,"One Way","Indego30"
144384085,14,"2017-07-01 01:02:00","2017-07-01 01:16:00",3010,39.947109,-75.166183,3054,39.962502,-75.174202,"05258",30,"One Way","Indego30"
144384081,10,"2017-07-01 01:03:00","2017-07-01 01:13:00",3028,39.940609,-75.149582,3098,39.934311,-75.160423,"03542",0,"One Way","Walk-up"
144384082,12,"2017-07-01 01:03:00","2017-07-01 01:15:00",3046,39.950119,-75.144722,3154,39.959240,-75.158211,"05370",30,"One Way","Indego30"
144384080,8,"2017-07-01 01:04:00","2017-07-01 01:12:00",3004,39.953781,-75.163742,3101,39.942951,-75.159554,"03618",30,"One Way","Indego30"
144384079,9,"2017-07-01 01:05:00","2017-07-01 01:14:00",3049,39.945091,-75.142502,3049,39.945091,-75.142502,"06701",0,"Round Trip","Walk-up"
144384078,9,"2017-07-01 01:06:00","2017-07-01 01:15:00",3049,39.945091,-75.142502,3049,39.945091,-75.142502,"05365",30,"Round Trip","Indego30"
144384077,15,"2017-07-01 01:09:00","2017-07-01 01:24:00",3170,39.944260,-75.181343,3150,39.928841,-75.170212,"03690",30,"One Way","Indego30"
